title,doi,notes,...4,keywords,pubmed_id,pmc_id,PDF files,exclusion_reason
PFAS Exposures and the Human Metabolome: A Systematic Review of Epidemiological Studies,10.1007/s40726-023-00269-4,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Humanities;Humanism;Humans,NA,NA,NA,meta-analytic estimate with variance not reported
"A critical review on the bioaccumulation, transportation, and elimination of per- and polyfluoroalkyl substances in human beings",10.1080/10643389.2023.2223118,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: full text not available",NA,Humanities;Humanism;Humans,NA,NA,NA,full text not available
Emerging Contaminants: An Emerging Risk Factor for Diabetes Mellitus,10.3390/toxics12010047,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Risk Factors,NA,NA,NA,meta-analytic estimate with variance not reported
Systematic Review: Association of Pesticide Exposure and Child Wheeze and Asthma,10.2174/1573396318666220510124457,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Only Child;Child;Pesticides;Asthma;Respiratory Sounds,NA,NA,NA,meta-analytic estimate with variance not reported
Per- and polyfluoroalkyl substances in Chinese surface waters: A review,10.1016/j.ecoenv.2023.115178,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Effects of Dichlorodiphenyltrichloroethane on the Female Reproductive Tract Leading to Infertility and Cancer: Systematic Search and Review,10.3390/toxics11090725,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Included""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Infertility,NA,NA,NA,meta-analytic estimate with variance not reported
"A systematic review on the current situation of emerging pollutants in Mexico: A perspective on policies, regulation, detection, and elimination in water and wastewater",10.1016/j.scitotenv.2023.167426,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Mexico,NA,NA,NA,meta-analytic estimate with variance not reported
Association between prenatal exposure to per- and polyfluoroalkyl substances and neurodevelopment in children: Evidence based on birth cohort,10.1016/j.envres.2023.116812,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Excluded""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Only Child;Child,NA,NA,NA,meta-analytic estimate with variance not reported
A Review of Analytical Methods and Technologies for Monitoring Per- and Polyfluoroalkyl Substances (PFAS) in Water,10.3390/w15203577,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Excluded""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
"A systematic review on distribution, sources and sorption of perfluoroalkyl acids (PFAAs) in soil and their plant uptake",10.1016/j.envres.2023.116156,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
The PFAS-Tox Database: A systematic evidence map of health studies on 29 per- and polyfluoroalkyl substances,10.1016/j.envint.2022.107408,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-LABELS: systematic evidence map | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Persistent organic pollutants exposure and risk of autism spectrum disorders: A systematic review and meta-analysis,10.1016/j.envpol.2023.122439,"RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no study level identifiers",NA,"Child Development Disorders, Pervasive;Autistic Disorder",NA,NA,NA,meta-analytic estimate with variance not reported
Epidemiology Evidence for Health Effects of 150 per- and Polyfluoroalkyl Substances: A Systematic Evidence Map,10.1289/EHP11185,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Excluded""} | RAYYAN-LABELS: systematic evidence map | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-LABELS: tag for lorenzo | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Plant-based feed additives in <i>Cyprinus carpio</i> aquaculture,10.1111/raq.12840,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Included""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Pesticides in aquifers from Latin America and the Caribbean,10.1016/j.scitotenv.2023.165992,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Pesticides;Latin America;Caribbean Region,NA,NA,NA,meta-analytic estimate with variance not reported
Pesticide exposure and child growth in low- and middle-income countries: A systematic review,10.1016/j.envres.2022.114230,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Pesticides;Only Child;Child,NA,NA,NA,meta-analytic estimate with variance not reported
Concentration of Tetrabromobisphenol-A in fish: systematic review and meta-analysis and probabilistic health risk assessment,10.1515/reveh-2023-0157,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: full text not available",NA,Risk Assessment,NA,NA,NA,full text not available
To what extent are filter feeder elasmobranchs exposed to marine pollution? A systematic review,10.1016/j.envpol.2022.120881,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Military Personnel,NA,NA,NA,meta-analytic estimate with variance not reported
"Arsenic and Environment: A Systematic Review on Arsenic Sources, Uptake Mechanism in Plants, Health Hazards and Remediation Strategies",10.1007/s11244-023-01901-9,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Arsenic;Arsenicals;Arsenates,NA,NA,NA,meta-analytic estimate with variance not reported
A meta-analysis highlighting the increasing relevance of the hair matrix in exposure assessment to organic pollutants,10.1016/j.scitotenv.2024.170535,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Hair,NA,NA,NA,meta-analytic estimate with variance not reported
"The Emergence of Antibiotics Resistance Genes, Bacteria, and Micropollutants in Grey Wastewater",10.3390/app13042322,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Anti-Bacterial Agents;Drug Resistance, Microbial;Bacteria",NA,NA,NA,meta-analytic estimate with variance not reported
Effects of chemical pollution on the behaviour of cichlid fish,10.1007/s10641-022-01376-9,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Studying the Impact of Persistent Organic Pollutants Exposure on Human Health by Proteomic Analysis: A Systematic Review,10.3390/ijms232214271,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Humanities;Humanism;Humans;Proteomics;Proteome,NA,NA,NA,meta-analytic estimate with variance not reported
Environmental risk scores of persistent organic pollutants associate with higher ALS risk and shorter survival in a new Michigan case/control cohort,10.1136/jnnp-2023-332121,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no study level identifiers",NA,Michigan;Amyotrophic Lateral Sclerosis,NA,NA,NA,meta-analytic estimate with variance not reported
Early exposure to agricultural pesticides and the occurrence of autism spectrum disorder: a systematic review,10.1590/1984-0462/2023/41/2021360,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Child Development Disorders, Pervasive;Pesticides;Autistic Disorder",NA,NA,NA,meta-analytic estimate with variance not reported
Insights into Organochlorine Pesticides Exposure in the Development of Cardiovascular Diseases: A Systematic Review,10.34172/aim.2023.86,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Cardiovascular Diseases;Pesticides,NA,NA,NA,meta-analytic estimate with variance not reported
Consumption of fruits and vegetables contaminated with pesticide residues in Brazil: A systematic review with health risk assessment,10.1016/j.chemosphere.2023.138244,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Risk Assessment;Pesticides,NA,NA,NA,meta-analytic estimate with variance not reported
Indoor residual spraying for the control of visceral leishmaniasis: A systematic review,10.1371/journal.pntd.0010391,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Excluded""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Lack of association between endocrine disrupting chemicals and male fertility: A systematic review and meta-analysis,10.1016/j.envres.2022.114942,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-LABELS: may include ocp or pfa | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no ocp or pfa",NA,Self-Fertilization;Fertilizers;Fertility,NA,NA,NA,wrong exposure
Correlation between in vitro toxicity of pesticides and in vivo risk guidelines in support of complex operating site risk management: A meta-analysis,10.1016/j.fct.2022.113502,"Export Date: 08 April 2024; Cited By: 2; Correspondence Address: S. Siciliano; Department of Soil Science, University of Saskatchewan, Saskatoon, S7N 5A8, Canada; email: steven.siciliano@usask.ca; CODEN: FCTOD | RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""Kyle ""=>""Maybe""} | USER-NOTES: {""Lorenzo""=>[""not sure if it includes PFAS or OCPs""]} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no study level identifiers",NA,"Human cells;IC50;In vivo risk guidelines;Pesticides;Toxicity;Biological Assay;Cell Line;Humans;Inhibitory Concentration 50;Neuroblastoma;0,3 dibutyl 0 (2,2 dichlorovinyl) phosphate;0,3 dioctyl 0 (2,2 dichlorovinyl) phosphate;1,1 dichloro 2,2 bis(4 chlorophenyl)ethane;1,1 dichloro 2,2 bis(4 chlorophenyl)ethylene;3,4 dichloroaniline;abamectin;acetamiprid;acetochlor;alachlor;allethrin;avermectin;azoxystrobin;bifenthrin;bioallethrin;captan;carbaril;carbendazim;carbofuran;chloranil;chlorothalonil;chlorphenotane;chlorpyrifos;chlorpyrifos oxon;clothianidin;copper oxychloride;cyclic tolyl saligenin phosphate;cyfluthrin;cyhalothrin;cypermethrin;cyphenothrin;deltamethrin;dichlorvos;dieldrin;difenoconazole;diflubenzuron;dimethoate;dimpylate;diphenylamine;diuron;dyflos;edifenphos;endosulfan;endosulfan diol;endosulfan lactone;endosulfan sulfate;esbiothrin;fenvalerate;fipronil;fipronil sulfone;glyphosate;heptachlor;imidacloprid;iprodione;isocarbophos;lindane;malaoxon;malathion;maneb;methamidophos;methoxychlor;metolachlor;mipafox;monochrotophos;monocrotophos;myclobutanil;omethoate;paraoxon;paraquat;parathion;parathion methyl;pentachlorophenol;permethrin;pesticide;phorate;phosalone;piperonyl butoxide;prochloraz;procymidone;profenofos;propargite;propiconazole;pyrethroid;pyridaben;pyrimethanil;rotenone;spinetoram;spinosad;stirofos;tetrachloro 1,2 hydroquinonen;thiacloprid;thiometoxam;tolylfluanid;triazophos;trifloxystrobin;unclassified drug;zineb;bioassay;biosafety;chemical industry;correlation coefficient;correlational study;data extraction;HaCat cell line;health risk assessment;HEK293 cell line;HeLa cell line;Hep-G2 cell line;HepaRG cell line;human;HUVEC cell line;in vitro study;in vivo study;JEG-3 cell line;linear regression analysis;liver cell;lymphocyte;MTT assay;packaging;practice guideline;quantitative analysis;Review;SH-SY5Y cell line;systematic review;toxicity testing;cell line;meta analysis;neuroblastoma;Risk Management",NA,NA,NA,meta-analytic estimate with variance not reported
Retraction: Association of Pentachlorophenol with Fetal Risk of Prolonged Bradycardia: A Systematic Review and Meta-Analysis (Journal of Healthcare Engineering (2022) 2022 (7552294) DOI: 10.1155/2022/7552294),10.1155/2023/9807423,"Export Date: 08 April 2024; Cited By: 0 | RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""Kyle ""=>""Maybe""} | RAYYAN-LABELS: retraction | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: full text not available",NA,retraction notice;Bradycardia,NA,NA,NA,full text not available
Relationship between Alcohol Co-Ingestion and Clinical Outcome in Pesticide Self-Poisoning: A Systematic Review and Meta-Analysis,10.1093/alcalc/agac045,"Export Date: 08 April 2024; Cited By: 3; Correspondence Address: F. Mohamed; Clinical Pharmacology and Toxicology Research Group, Biomedical Informatics and Digital Health, Faculty of Medicine and Health, The University of Sydney, Sydney, Australia; email: fahim.cader@gmail.com; CODEN: ALALD | RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no ocp or pfa",NA,Cohort Studies;Eating;Ethanol;Humans;Insecticides;Organophosphate Poisoning;Organophosphorus Compounds;Pesticides;acetylcholinesterase;alcohol;aldehyde oxidase;bispyribac;carbamate insecticide;cholinesterase;cholinesterase inhibitor;dimethoate;endosulfan;ethiofencarb;glufosinate;imidacloprid;insecticide;mirtazapine;neonicotinoid;organochlorine insecticide;organophosphate insecticide;paraquat;pesticide;profenofos;pyrethroid;unclassified drug;organophosphorus compound;acute lung injury;adult;aged;alcohol consumption;aspiration pneumonia;cause of death;clinical outcome;comparative study;consciousness;controlled study;data base;data extraction;demographics;endotracheal intubation;Glasgow coma scale;heart arrhythmia;hospitalization;human;hypotension;ingestion;kidney injury;meta analysis;metabolic acidosis;middle aged;multiple organ failure;outcome assessment;patient care;personal experience;quality control;Review;risk assessment;risk factor;self poisoning;survivor;systematic review;treatment duration;treatment outcome;cohort analysis;eating;organophosphate poisoning;Poisoning;Alcoholics;Poisons,NA,NA,NA,wrong exposure
The environmental and occupational influence of pesticides on male fertility: A systematic review of human studies,10.1111/andr.13228,"Export Date: 08 April 2024; Cited By: 20; Correspondence Address: C. Giulioni; Department of Urology, Polytechnic University of Marche Region, Ancona, Italy; email: carlo.giulioni9@gmail.com | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"chromosome aneuploidy;DNA integrity;male fertility;pesticides;semen parameters;Aneuploidy;Chromatin;DNA;Fertility;Humans;Infertility, Male;Male;Occupational Exposure;Organophosphates;Pesticides;Pyrethrins;Semen;Semen Analysis;Sperm Count;Sperm Motility;Spermatozoa;abamectin;alachlor;atrazine;dimethoate;dimpylate;herbicide;insecticide;methamidophos;organochlorine derivative;parathion methyl;pesticide;organophosphate;pyrethroid;adult;aneuploidy;CAG repeat;DNA damage;DNA fragmentation;environmental exposure;human;male;male infertility;Medline;meta analysis;observational study;occupational exposure;Review;Scopus;sperm count;sperm quality;spermatozoon density;spermatozoon motility;systematic review;Web of Science;adverse event;chromatin;fertility;semen analysis;sperm;spermatozoon;Humanities;Humanism;Fertilizers;Self-Fertilization",NA,NA,NA,meta-analytic estimate with variance not reported
