ma_aut_year,ma_id,ma_e_id,source,chemical_class,chemical_s,chemical_id,health_outcome_type,ICD11_code,health_outcome_class,health_outcome_group,health_outcome_comment,biomarker,model,model_comment,variance_estimate_method,ma_es_measure,,number_effects,ma_point_estimate,ma_l_ci,ma_u_ci,heterogeneity
luo_2016,ma_009,ma_m_015,fig2,OCP,one,DDE,non-Hodgkin lymphoma,2B33.5,"Malignant lymphoma, not elsewhere classified",Neoplasms,,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,11,1.38,1.14,1.66,0
luo_2016,ma_009,ma_m_016,fig2,OCP,one,HCH,non-Hodgkin lymphoma,2B33.5,"Malignant lymphoma, not elsewhere classified",Neoplasms,,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,6,1.42,1.08,1.87,34.4
luo_2016,ma_009,ma_m_017,fig2,OCP,one,Chlordane,non-Hodgkin lymphoma,2B33.5,"Malignant lymphoma, not elsewhere classified",Neoplasms,,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,8,1.93,1.51,2.48,17.7
luo_2016,ma_009,ma_m_018,fig2,OCP,one,HCB,non-Hodgkin lymphoma,2B33.5,"Malignant lymphoma, not elsewhere classified",Neoplasms,,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,7,1.54,1.2,1.99,17.7
park_2014,ma_010,ma_m_019,fig2,OCP,one,DDE,breast cancer,2C6Z ,Malignant neoplasms,Neoplasms,"Malignant neoplasms of breast, unspecified",clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,37,1.03,0.95,1.12,40.9
mosallanejad_2016,ma_011,ma_m_020,fig2,OCP,one,HCB,type 2 diabetes,5A11,Type 2 diabetes mellitus,"Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,fixed effects model,,not reported,OR (odds ratio),,19,2.23,1.82,2.74,25.95
brown_2006,ma_012,ma_m_021,fig2,OCP,multiple,combined ocp,parkinsons disease,8A00.0,Parkinson disease,Diseases of the nervous system,,clinical disease endpoint,not reported ,,not reported ,OR (odds ratio),,6,NA,NA,NA,NA
wu_2022,ma_013,ma_m_022,fig3,OCP,one,DDE,preterm birth,KA21.4Z,Disorders of newborn related to length of gestation or fetal growth,Conditions originating in the perinatal period,,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,5,1.62,0.94,2.82,64.4
yipei_2022,ma_014,ma_m_023,fig2,OCP,one,DDT,diabetes,5A14,"Diabetes mellitus, type unspecified","Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,17,1.61,1.1,2.36,75
yipei_2022,ma_014,ma_m_024,fig3,OCP,one,DDE,diabetes,5A14,"Diabetes mellitus, type unspecified","Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,44,1.67,1.41,1.98,73
chittrakul_2021,ma_015,ma_m_025,fig4,OCP,multiple,combined ocp,asthma,CA23.3,Unspecified asthma,Diseases of the respiratory system ,,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,2,1.4,1.19,1.64,37.3
lim_2015,ma_016,ma_m_026,fig2,OCP,one,"p,p'-DDE",prostate cancer,2C82,Malignant neoplasms of prostate,Neoplasms,,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,7,1.41,1.12,1.78,24.8
lim_2015,ma_016,ma_m_027,fig2,OCP,one,trans-Nonachlor,prostate cancer,2C82,Malignant neoplasms of prostate,Neoplasms,,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,5,1.3,0.92,1.82,50.3
lim_2015,ma_016,ma_m_028,fig2,OCP,one,Oxychlordane,prostate cancer,2C82,Malignant neoplasms of prostate,Neoplasms,,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,4,1.18,0.82,1.69,0
bonde_2016,ma_017,ma_m_029,fig3,OCP,one,DDE,"cryptorchidism, hypospadias or testicular cancer",2C82,,Neoplasms,,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,13,1.35,1.04,1.74,
mendes_2021,ma_018,ma_m_030,fig2,OCP,one,Oxychlordane,BMI,5B81.00,Nutritional disorders,"Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,fixed effects model,,DerSimonian and Laird,? (regression coefficient) value,,7,0.04,0,0.07,89.7
mendes_2021,ma_018,ma_m_031,fig3,OCP,one,trans-Nonachlor,BMI,5B81.00,Nutritional disorders,"Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,fixed effects model,,DerSimonian and Laird,? (regression coefficient) value,,7,0.02,-0.01,0.06,78.7
mendes_2021,ma_018,ma_m_032,fig4,OCP,one,Oxychlordane,diabetes,5A14,"Diabetes mellitus, type unspecified","Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,fixed effects model,,DerSimonian and Laird,? (regression coefficient) value,,8,1.96,1.19,3.23,69.8
mendes_2021,ma_018,ma_m_033,fig5,OCP,one,trans-Nonachlor,diabetes,5A14,"Diabetes mellitus, type unspecified","Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,fixed effects model,,DerSimonian and Laird,? (regression coefficient) value,,10,2.43,1.64,3.62,63.2
mendes_2021,ma_018,ma_m_034,fig6,OCP,one,heptachlor epoxide,diabetes,5A14,"Diabetes mellitus, type unspecified","Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,fixed effects model,,DerSimonian and Laird,? (regression coefficient) value,,3,1.88,1.42,2.49,0
wang_2021,ma_019,ma_m_035,tab2,OCP,multiple,combined ocp,autismspectrum disorder (ASD),not reported,Neurodevelopmental disorders,"Mental, behavioural or neurodevelopmental disorders",,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,2,1.14,0.8,1.65,51.2
lewis-mikhael_2015,ma_020,ma_m_036,fig2,OCP,one,"p,p'-DDE",prostate cancer,2C82,Malignant neoplasms of prostate,Neoplasms,,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,5,1.02,0.69,1.35,12.7
lewis-mikhael_2015,ma_020,ma_m_037,fig2,OCP,one,DDT,prostate cancer,2C82,Malignant neoplasms of prostate,Neoplasms,,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,2,0.81,0.35,1.26,0
lewis-mikhael_2015,ma_020,ma_m_038,fig2,OCP,one,HCB,prostate cancer,2C82,Malignant neoplasms of prostate,Neoplasms,,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,3,0.88,0.18,1.57,36
lewis-mikhael_2015,ma_020,ma_m_039,fig2,OCP,one,Oxychlordane,prostate cancer,2C82,Malignant neoplasms of prostate,Neoplasms,,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,4,0.91,0.46,1.35,0
lewis-mikhael_2015,ma_020,ma_m_040,fig2,OCP,one,trans-Nonachlor,prostate cancer,2C82,Malignant neoplasms of prostate,Neoplasms,,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,3,0.88,0.45,1.31,0
lewis-mikhael_2015,ma_020,ma_m_041,fig3,OCP,one,DDT,prostate cancer,2C82,Malignant neoplasms of prostate,Neoplasms,,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,3,1.3,0.94,1.67,13.4
lewis-mikhael_2015,ma_020,ma_m_042,fig3,OCP,one,heptachlor,prostate cancer,2C82,Malignant neoplasms of prostate,Neoplasms,,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,2,1.34,0.48,2.2,53.5
lewis-mikhael_2015,ma_020,ma_m_043,fig3,OCP,one,gamma-HCH,prostate cancer,2C82,Malignant neoplasms of prostate,Neoplasms,,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,3,1.56,0.82,2.29,41.7
wu_2013,ma_021,ma_m_044,fig2,OCP,one,"p,p'-DDE",diabetes,5A11,Type 2 diabetes mellitus,"Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,fixed effects model,,not reported,OR (odds ratio),,6,1.25,0.94,1.66,36.8
wu_2013,ma_021,ma_m_045,fig2,OCP,one,"p,p'-DDT",diabetes,5A11,Type 2 diabetes mellitus,"Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,fixed effects model,,not reported,OR (odds ratio),,3,1,0.54,1.87,0
wu_2013,ma_021,ma_m_046,fig2,OCP,one,HCB,diabetes,5A11,Type 2 diabetes mellitus,"Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,fixed effects model,,not reported,OR (odds ratio),,4,2,1.13,3.53,21.4
yang_2020,ma_022,ma_m_047,fig3a,OCP,one,beta-HCH,birth weight,KA21.4Z,Disorders of newborn related to length of gestation or fetal growth,Conditions originating in the perinatal period,,clinical disease endpoint,fixed effects model,,not reported,? (regression coefficient) value,,7,-22.96,-35.84,-10.07,36.12
liu_2022,ma_023,ma_m_048,fig4a,OCP,multiple,combined ocp,CRP,not reported ,not reported ,Diseases of the musculoskeletal system or connective tissue,,clinical disease endpoint,,,not reported,? (regression coefficient) value,,9,0.065,0.03,0.099,NA
liu_2022,ma_023,ma_m_049,fig4b,OCP,multiple,combined ocp,IL-1?,not reported ,not reported ,Diseases of the musculoskeletal system or connective tissue,,clinical disease endpoint,,,not reported,? (regression coefficient) value,,5,0.313,0.05,0.535,NA
liu_2022,ma_023,ma_m_050,fig4c,OCP,multiple,combined ocp,IL-2,not reported ,not reported ,Diseases of the musculoskeletal system or connective tissue,,clinical disease endpoint,,,not reported,? (regression coefficient) value,,22,0.062,0.004,0.12,NA
liu_2022,ma_023,ma_m_051,fig4d,OCP,multiple,combined ocp,IL-10,not reported ,not reported ,Diseases of the musculoskeletal system or connective tissue,,clinical disease endpoint,,,not reported,? (regression coefficient) value,,25,0.075,0.019,0.13,NA
canosancho_2019,ma_024,ma_m_052,fig7,OCP,multiple,combined ocp,endometriosis,GA10,Endometriosis,Diseases of the genitourinary system,,clinical disease endpoint,random effects model,,DerSimonian and Laird,lnRR (risk ratio),,37,0.21,0.12,0.31,50
brauner_2021,ma_025,ma_m_053,fig4a,OCP,multiple,combined ocp,testicular cancer,2C80.Z,Malignant neoplasms of male genital organs,Neoplasms,maternal exposure,clinical disease endpoint,random effects model,,not reported,HR (hazard ratio),,11,1.61,0.99,2.61,66
brauner_2021,ma_025,ma_m_054,fig4b,OCP,multiple,combined ocp,testicular cancer,2C80.Z,Malignant neoplasms of male genital organs,Neoplasms,male exposure,clinical disease endpoint,random effects model,,not reported,HR (hazard ratio),,38,1.24,1.11,1.39,9
adami_1995,ma_026,ma_m_055,,OCP,one,DDE,estrogen related cancer,2C78,"Malignant neoplasms of uterus, part not specified",Neoplasms,,clinical disease endpoint,not reported ,,not reported ,ratio of means,,34,1.04,0.72,1.45,NA
wang_2016,ma_027,ma_m_056,fig3,OCP,multiple,combined ocp,sperm quality ,not reported,not reported ,Diseases of the genitourinary system,,clinical disease endpoint,fixed effects model,,not reported,OR (odds ratio),,4,1.98,1.34,2.62,0
liu_2023,ma_028,ma_m_057,fig2,OCP,one,"p,p'-DDT",breast cancer,2C6Z ,Malignant neoplasms,Neoplasms,"Malignant neoplasms of breast, unspecified",clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,25,1.22,1.03,1.45,77.7
liu_2023,ma_028,ma_m_058,fig3,OCP,one,"p,p'-DDE",breast cancer,2C6Z ,Malignant neoplasms,Neoplasms,"Malignant neoplasms of breast, unspecified",clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,34,1.15,1.01,1.3,59.9
liu_2023,ma_028,ma_m_059,fig4,OCP,one,HCB,breast cancer,2C6Z ,Malignant neoplasms,Neoplasms,"Malignant neoplasms of breast, unspecified",clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,14,1.06,0.68,1.65,77.4
liu_2023,ma_028,ma_m_060,fig5,OCP,one,HCH,breast cancer,2C6Z ,Malignant neoplasms,Neoplasms,"Malignant neoplasms of breast, unspecified",clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,22,1.33,1.05,1.67,70.3
xu_2023a,ma_029,ma_m_061,fig4,OCP,multiple,combined ocp,sperm count,not reported,not reported ,Diseases of the genitourinary system,semen quality,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,7,1.31,1.19,1.44,96.9
xu_2023a,ma_029,ma_m_062,fig4,OCP,multiple,combined ocp,sperm concentration,not reported,not reported ,Diseases of the genitourinary system,semen quality,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,13,1.34,1.1,1.63,95.4
xu_2023a,ma_029,ma_m_063,fig4,OCP,multiple,combined ocp,sperm morphology,not reported,not reported ,Diseases of the genitourinary system,semen quality,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,9,1.42,1.02,1.99,97.5
xu_2023a,ma_029,ma_m_064,fig4,OCP,multiple,combined ocp,sperm volume,not reported,not reported ,Diseases of the genitourinary system,semen quality,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,5,1.79,1.15,2.79,99.5
xu_2023a,ma_029,ma_m_065,fig4,OCP,multiple,combined ocp,sperm motility,not reported,not reported ,Diseases of the genitourinary system,semen quality,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,7,1.87,1.16,3.01,98.2
xu_2023a,ma_029,ma_m_066,fig9,OCP,one,DDE,sperm count,not reported,not reported ,Diseases of the genitourinary system,semen quality,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,3,1.01,0.98,1.04,4.3
xu_2023a,ma_029,ma_m_067,fig9,OCP,one,DDE,sperm concentration,not reported,not reported ,Diseases of the genitourinary system,semen quality,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,10,1.05,0.98,1.13,49.2
xu_2023a,ma_029,ma_m_068,fig9,OCP,one,DDE,sperm morphology,not reported,not reported ,Diseases of the genitourinary system,semen quality,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,6,1,0.97,1.03,0
xu_2023a,ma_029,ma_m_069,fig9,OCP,one,DDE,sperm volume,not reported,not reported ,Diseases of the genitourinary system,semen quality,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,2,1,0.99,1.01,0
xu_2023a,ma_029,ma_m_070,fig9,OCP,one,DDE,sperm motility,not reported,not reported ,Diseases of the genitourinary system,semen quality,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,3,1.06,0.77,1.46,77.8
uldbjerg_2022,ma_030,ma_m_071,fig4B,OCP,multiple,combined ocp,earlier age at menarche,not reported,not reported ,Diseases of the genitourinary system,pubertal timing,clinical disease endpoint,random effects model,NA,not reported,RR (risk ratio),,5,1.09,0.99,1.19,39
lan_2023a,ma_031,ma_m_072,fig2B,OCP,one,DDE,pubertal timing,not reported,Neurodevelopmental disorders,"Mental, behavioural or neurodevelopmental disorders","Pubertal timing. From the study: ""Pubertal timing is defined as the time of first appearance of various events during puberty, such as pubic hair growth, breast development, menarche and testicular development.""",clinical disease endpoint,random effects model,NA,not reported,RR (risk ratio),,4,0.89,0.73,1.07,0
lan_2023a,ma_031,ma_m_073,fig2B,OCP,one,HCB,pubertal timing,not reported,Neurodevelopmental disorders,"Mental, behavioural or neurodevelopmental disorders","Pubertal timing. From the study: ""Pubertal timing is defined as the time of first appearance of various events during puberty, such as pubic hair growth, breast development, menarche and testicular development.""",clinical disease endpoint,random effects model,NA,not reported,RR (risk ratio),,3,0.63,0.49,0.79,0
lan_2023a,ma_031,ma_m_074,fig2B,OCP,multiple,combined ocp,pubertal timing,5A91,Endocrine diseases,"Endocrine, nutritional or metabolic diseases","Pubertal timing. From the study: ""Pubertal timing is defined as the time of first appearance of various events during puberty, such as pubic hair growth, breast development, menarche and testicular development.""",clinical disease endpoint,random effects model,NA,not reported,RR (risk ratio),,4,0.84,0.67,1.06,44.5
cartagena_2023,ma_032,ma_m_075,figureS2,OCP,one,DDE,sum of skinfolds,not reported,not reported ,Diseases of the skin,NA,clinical disease endpoint,not reported ,NA,inverse variance,? (regression coefficient) value,,2,1.09,0.99,1.18,0
sirikul_2023,ma_033,ma_m_076,fig2,OCP,multiple,combined ocp,hypothyroidism,5A00,Hypothyroidism,"Endocrine, nutritional or metabolic diseases",NA,clinical disease endpoint,random effects model,NA,inverse variance,OR (odds ratio),,56,1.23,1.14,1.33,43.4
lin_2023,ma_034,ma_m_077,table A8.1,OCP,one,"p,p'-DDE",risk of preterm birth,KA21.4Z,Disorders of newborn related to length of gestation or fetal growth,Conditions originating in the perinatal period,NA,clinical disease endpoint,random effects model,NA,not reported,? (regression coefficient) value,,3,2.13,0.19,23.35,45.22
lin_2023,ma_034,ma_m_078,table A8.2,OCP,one,"p,p'-DDE",length of gestational age at birth,KA21.4Z,Disorders of newborn related to length of gestation or fetal growth,Conditions originating in the perinatal period,NA,clinical disease endpoint,random effects model,NA,not reported,? (regression coefficient) value,,8,-0.15,-0.61,0.3,72.17
lin_2023,ma_034,ma_m_079,table A8.2,OCP,one,HCB,length of gestational age at birth,KA21.4Z,Disorders of newborn related to length of gestation or fetal growth,Conditions originating in the perinatal period,NA,clinical disease endpoint,random effects model,NA,not reported,? (regression coefficient) value,,5,-0.15,-0.72,0.27,2.94
yipei_2023,ma_035,ma_m_080,fig2,OCP,one,DDE,hyperuricemia,5C55.Y,Metabolic disorders,"Endocrine, nutritional or metabolic diseases",also classified as kidney disease or gout and joint disorders or cardiovascular risk factors,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,3,3.66,1.77,7.55,80
yipei_2023,ma_035,ma_m_081,fig2,OCP,one,DDT,hyperuricemia,5C55.Y,Metabolic disorders,"Endocrine, nutritional or metabolic diseases",also classified as kidney disease or gout and joint disorders or cardiovascular risk factors,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,3,2.31,1.27,4.2,74
cong_2023,ma_036,ma_m_082,fig2,OCP,one,TCDD,breast cancer,2C6Z ,Malignant neoplasms,Neoplasms,"Malignant neoplasms of breast, unspecified",clinical disease endpoint,random and fixed effects model,NA,not reported,OR (odds ratio),,6,1,0.89,1.12,39.3
chen_2023,ma_037,ma_m_083,fig2A,OCP,one,alpha-HCH,protein carbonyls (PC),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,4,0.035,0.017,0.054,0
chen_2023,ma_037,ma_m_084,fig2A,OCP,one,beta-HCH,protein carbonyls (PC),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,4,0.204,-0.021,0.429,77
chen_2023,ma_037,ma_m_085,fig2A,OCP,one,gamma-HCH,protein carbonyls (PC),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,4,0.111,-0.112,0.335,63
chen_2023,ma_037,ma_m_086,fig2A,OCP,one,"p,p'-DDE",protein carbonyls (PC),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,4,0.059,-0.004,0.122,0
chen_2023,ma_037,ma_m_087,fig2A,OCP,one,"p,p'-DDT",protein carbonyls (PC),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,0.109,-0.166,0.383,73
chen_2023,ma_037,ma_m_088,fig2B,OCP,one,alpha-HCH,malondialdehyde (MDA),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,6,0.02,-0.012,0.041,42
chen_2023,ma_037,ma_m_089,fig2B,OCP,one,beta-HCH,malondialdehyde (MDA),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,6,0.245,-0.011,0.501,95
chen_2023,ma_037,ma_m_090,fig2B,OCP,one,gamma-HCH,malondialdehyde (MDA),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,6,0.185,-0.067,0.437,91
chen_2023,ma_037,ma_m_091,fig2B,OCP,one,"o,p'-DDE",malondialdehyde (MDA),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,4,0.088,-0.206,0.383,91
chen_2023,ma_037,ma_m_092,fig2B,OCP,one,"p,p'-DDE",malondialdehyde (MDA),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,6,0.121,0.056,0.187,29
chen_2023,ma_037,ma_m_093,fig2B,OCP,one,"o,p'-DDT",malondialdehyde (MDA),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,0.028,-0.008,0.064,0
chen_2023,ma_037,ma_m_094,fig2B,OCP,one,"p,p'-DDT",malondialdehyde (MDA),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,5,0.114,-0.005,0.233,67
chen_2023,ma_037,ma_m_095,fig2C,OCP,one,alpha-HCH,total antioxidant capacity (TAC),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,5,-0.068,-0.142,0.005,25
chen_2023,ma_037,ma_m_096,fig2C,OCP,one,beta-HCH,total antioxidant capacity (TAC),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,5,-0.195,-0.395,0.006,86
chen_2023,ma_037,ma_m_097,fig2C,OCP,one,gamma-HCH,total antioxidant capacity (TAC),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,5,-0.165,-0.314,-0.016,74
chen_2023,ma_037,ma_m_098,fig2C,OCP,one,"o,p'-DDE",total antioxidant capacity (TAC),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.042,-0.079,-0.004,0
chen_2023,ma_037,ma_m_099,fig2C,OCP,one,"p,p'-DDE",total antioxidant capacity (TAC),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,5,-0.129,-0.278,0.019,79
chen_2023,ma_037,ma_m_100,fig2C,OCP,one,"o,p'-DDT",total antioxidant capacity (TAC),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.146,-0.6,0.308,92
chen_2023,ma_037,ma_m_101,fig2C,OCP,one,"p,p'-DDT",total antioxidant capacity (TAC),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,5,-0.111,-0.21,-0.012,57
chen_2023,ma_037,ma_m_102,fig2D,OCP,one,alpha-HCH,acetylcholinesterase (AChE),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.106,-0.401,0.188,76
chen_2023,ma_037,ma_m_103,fig2D,OCP,one,beta-HCH,acetylcholinesterase (AChE),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,4,-0.14,-0.361,0.081,66
chen_2023,ma_037,ma_m_104,fig2D,OCP,one,gamma-HCH,acetylcholinesterase (AChE),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,4,-0.13,-0.353,0.094,69
chen_2023,ma_037,ma_m_105,fig2D,OCP,one,"o,p'-DDE",acetylcholinesterase (AChE),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.02,-0.219,0.179,49
chen_2023,ma_037,ma_m_106,fig2D,OCP,one,"p,p'-DDE",acetylcholinesterase (AChE),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.155,-0.335,0.026,57
chen_2023,ma_037,ma_m_107,fig2D,OCP,one,"o,p'-DDT",acetylcholinesterase (AChE),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.023,-0.054,0.007,0
