Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Seyyedsalehi, MS; Boffetta, P",,,,"Seyyedsalehi, Monireh Sadat; Boffetta, Paolo",,,"Per- and Poly-fluoroalkyl Substances (PFAS) Exposure and Risk of Kidney, Liver, and Testicular Cancers: A Systematic Review and Meta-Analysis",MEDICINA DEL LAVORO,,,,,,,,,,,,"Introduction: Per- and poly-luoroalkyl substances (PFASs) are a large, complex group of synthetic chemicals humans can be exposed to from occupational or environmental sources. In this systematic review and meta-analysis, tane Sulfonic Acid (PFOS), and risk of kidney, liver, and testicular cancer. Methods: We systematically searched PubMed to identify cohort and case-control studies reported after the Monograph of the International Agency for Research on Cancer and the Toxicological Profile of the Agency for Toxic Substances and Disease Registry. We assessed the quality of the studies by using a modified version of the Newcastle-Ottawa Scale (NOS). Forest relative risk (RR) plots were constructed for liver, kidney, and testicular cancer. We conducted stratified analyses by geographic region, study design, quality score, outcome, years of publication, exposure source, and PFAS type. A random-effects model was used to address heterogeneity between studies. Results: Fifteen studies, including ten cohort studies, three case-control studies nested in a cohort, and two case-control studies were included after removing duplicate and irrelevant reports. We found an association between overall PFAS exposure and the risk of kidney cancers (RR=1.18, 95% CI =1.05-1.32; I =52.8%, 11 studies). Also, we showed an association between high-level exposure to PFAS and kidney cancer (RR=1.74, 95% CI =1.23-2.47; p=0.005) and testicular cancer (RR=2.22, 95% CI =1.12-4.39; p=0.057). There was no association with liver cancer. We found no heterogeneity by geographical region, PFAS type, study design, outcome, quality score, year of publication, or exposure source. Only two studies reported results among women. Conclusions: We detected an association between overall PFAS exposure and kidney cancer and high doses of PFAS with testicular cancer. However, bias and confounding cannot be excluded, precluding a conclusion in terms of causality.",,,,,,,,,,,,,,,,,,,0025-7818,,,,,,2023,114,5,,,,,,,e2023040,10.23749/mdl.v114i5.15065,http://dx.doi.org/10.23749/mdl.v114i5.15065,,,,,,,,37878255,,,,,WOS:001093367000004,View Full Record in Web of Science
J,"Liu, YZ; Yang, K; Zhang, W; Zhang, Q; Liu, TF; Xu, T; Li, Y; Ran, RX; Yang, K; Cao, YF; Fang, ZZ",,,,"Liu, Yong-Zhe; Yang, Kai; Zhang, Wei; Zhang, Qian; Liu, Tong-Feng; Xu, Tong; Li, Yang; Ran, Rui-Xue; Yang, Kun; Cao, Yun-Feng; Fang, Zhong-Ze",,,Inhibition of human sulfotransferases (SULTs) by per- and polyfluoroalkyl substances (PFASs) and structure-activity relationship,FOOD AND CHEMICAL TOXICOLOGY,,,,,,,,,,,,"Per-and polyfluoroalkyl substances (PFASs) are a family of highly fluorinated aliphatic substances widely used in industrial and commercial applications. This study aims to determine the inhibition of PFASs towards sulfo-transferases (SULTs) activity, and trying to explain the toxicity mechanism of PFASs. In vitro recombinant SULTs-catalyzed sulfation of p-nitrophenol (PNP) was utilized as a probe reaction. The incubation system was consisted of PFASs, SULTs, PNP, 3 '-phosphoadenosine-5 '-phosphosulfate, MgCl2 and Tris-HCl buffer. Ultra-performance liquid chromatography was employed for analysis of the metabolites. All tested PFASs showed inhibition to-wards SULTs. The longer the carbon chain length of the PFASs terminated with -COOH, the higher is its capability of inhibiting SULT1A3. PFASs with -SO3H had a relatively higher ability to inhibit SULT1A3 activity than those with -COOH, -I and -OH. The inhibition kinetic parameter was 2.16 and 1.42 mu M for PFOS-SULT1A1, PFTA-SULT1B1. In vitro in vivo extrapolation showed that the concentration of PFOS and PFTA in human matrices might be higher than the threshold for inducing inhibition of SULTs. Therefore, PFASs could interfere with the metabolic pathways catalyzed by SULTs in vivo. All these results will help to understand the toxicity of PFASs from the perspective of metabolism.",,,,,"Cao, Yunfeng/S-1593-2016",,,,,,,,,,,,,,0278-6915,1873-6351,,,,APR,2023,174,,,,,,,,113664,10.1016/j.fct.2023.113664,http://dx.doi.org/10.1016/j.fct.2023.113664,,FEB 2023,,,,,,36775137,,,,,WOS:000948831700001,View Full Record in Web of Science
J,"India-Aldana, S; Yao, MZ; Midya, V; Colicino, E; Chatzi, L; Chu, JM; Gennings, C; Jones, DP; Loos, RJF; Setiawan, VW; Smith, MR; Walker, RW; Barupal, D; Walker, DI; Valvi, D",,,,"India-Aldana, Sandra; Yao, Meizhen; Midya, Vishal; Colicino, Elena; Chatzi, Leda; Chu, Jaime; Gennings, Chris; Jones, Dean P.; Loos, Ruth J. F.; Setiawan, Veronica W.; Smith, Mathew Ryan; Walker, Ryan W.; Barupal, Dinesh; Walker, Douglas I.; Valvi, Damaskini",,,PFAS Exposures and the Human Metabolome: A Systematic Review of Epidemiological Studies,CURRENT POLLUTION REPORTS,,,,,,,,,,,,"Purpose of ReviewThere is a growing interest in understanding the health effects of exposure to per- and polyfluoroalkyl substances (PFAS) through the study of the human metabolome. In this systematic review, we aimed to identify consistent findings between PFAS and metabolomic signatures. We conducted a search matching specific keywords that was independently reviewed by two authors on two databases (EMBASE and PubMed) from their inception through July 19, 2022 following PRISMA guidelines.Recent FindingsWe identified a total of 28 eligible observational studies that evaluated the associations between 31 different PFAS exposures and metabolomics in humans. The most common exposure evaluated was legacy long-chain PFAS. Population sample sizes ranged from 40 to 1,105 participants at different stages across the lifespan. A total of 19 studies used a non-targeted metabolomics approach, 7 used targeted approaches, and 2 included both. The majority of studies were cross-sectional (n = 25), including four with prospective analyses of PFAS measured prior to metabolomics.Most frequently reported associations across studies were observed between PFAS and amino acids, fatty acids, glycerophospholipids, glycerolipids, phosphosphingolipids, bile acids, ceramides, purines, and acylcarnitines. Corresponding metabolic pathways were also altered, including lipid, amino acid, carbohydrate, nucleotide, energy metabolism, glycan biosynthesis and metabolism, and metabolism of cofactors and vitamins. We found consistent evidence across studies indicating PFAS-induced alterations in lipid and amino acid metabolites, which may be involved in energy and cell membrane disruption.",,,,,"Midya, Vishal/KBR-2707-2024; Colicino, Elena/Q-4973-2016; Loos, Ruth J F/Q-2862-2016","Midya, Vishal/0000-0002-6643-5176; India Aldana, Sandra/0000-0003-3754-6691",,,,,,,,,,,,,2198-6592,,,,,SEP,2023,9,3,,,,,510,568,,10.1007/s40726-023-00269-4,http://dx.doi.org/10.1007/s40726-023-00269-4,,JUN 2023,,,,,,37753190,,,,,WOS:001017690300001,View Full Record in Web of Science
J,"Migliaccio, V; Putti, R; Scudiero, R",,,,"Migliaccio, Vincenzo; Putti, Rosalba; Scudiero, Rosaria",,,Metallothionein gene expression in rat tissues: response to dietary restriction after orally dichlorodiphenyldichloroethylene (DDE) exposure and high-fat feeding,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,,,,,,,,,,,,"Dichlorodiphenyldichloroethylene (DDE) is an environmental pollutant that accumulates in adipose tissue through the food chain. Hypercaloric, high-fat diet is considered to promote the accumulation of toxic lipophilic substances in tissues, whereas the loss of body fat through caloric restriction results in a recirculation of these substances. In rats, oral administration of DDE causes the onset of tissues damage; the concomitant intake of a high-fat diet ameliorates tissues status, probably because of the entrapment of the lipophilic substance in fat depots. Recent evidence demonstrates that DDE alters the expression of metallothioneins, proteins involved in cellular defense from oxidative stress, in a diet- and tissue-specific manner. This study is aimed to verify if 2 weeks of caloric restriction after the oral DDE treatment can modify metallothionein gene expression in tissues of high-fat fed rats. Real-time PCR analysis demonstrates that metallothionein gene expression after calorie restriction is tissue-specific and strongly influenced by both previous dietary conditions and DDE exposure. To avoid misleading conclusions on the interference of toxic xenobiotics on metallothionein gene expression is particularly important to consider the tissue, the cellular conditions, and the nutritional status of the animals, especially when the protein is used as an index of cells health.",,,,,"Scudiero, Rosaria/AAI-2119-2020","Scudiero, Rosaria/0000-0002-8186-9722; MIGLIACCIO, Vincenzo/0000-0002-8820-4694",,,,,,,,,,,,,0360-1234,1532-4109,,,,NOV 2,2022,57,11,,,,,859,864,,10.1080/03601234.2022.2127594,http://dx.doi.org/10.1080/03601234.2022.2127594,,SEP 2022,,,,,,36173099,,,,,WOS:000861984100001,View Full Record in Web of Science
J,"Lu, Y; Guan, RN; Zhu, NL; Hao, JH; Peng, HY; He, AE; Zhao, CY; Wang, YW; Jiang, GB",,,,"Lu, Yao; Guan, Ruining; Zhu, Nali; Hao, Jinghua; Peng, Hanyong; He, Anen; Zhao, Chunyan; Wang, Yawei; Jiang, Guibin",,,"A critical review on the bioaccumulation, transportation, and elimination of per- and polyfluoroalkyl substances in human beings",CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,,,,,,,,,,,,"Per- and polyfluoroalkyl substances (PFAS) have been manufactured for over seven decades. Owing to the unique characteristics of C-F bond, it has been widely used in the industrial and commercial products, which leading to its wide presence in the environmental and biological matrix. In this critical review, we systematically summarized the existing literature on the behaviors and mechanisms of bioaccumulation, transportation, and elimination of PFAS in humans and pointed out the deficiencies and gaps of the existing research. Additionally, we calculated the binding affinities between a total of 56 PFAS and four important renal PFAS transporters (organic anion transporter 1, 3, and 4, together with urate transporter 4) to elucidate the renal elimination behaviors of PFAS in human body by molecular docking method for the first time. Furthermore, we put forwarded perspectives for future research to call on researchers to fill in the gaps of the existing studies and increase the investigations on the research topic. The understanding of the behaviors and mechanisms of PFAS in human beings are significant for the health risks assessment of human exposed to PFAS. Nevertheless, the research on the topic is still very limited. This review provides a comprehensive view of PFAS in human body, explores the potential human renal elimination mechanisms of PFAS, and presents insightful perspectives for further research on the relationship between PFAS exposure and its potential health effects on human beings.",,,,,"?, ?/JUU-4277-2023; yu, xiao/KFT-1725-2024; Yao, Chen/JVD-6226-2023; Wang, Minghao/JMD-0670-2023; ren, jing/JXN-8411-2024; tian, ye/KGL-6485-2024; wang, shuo/KCL-3379-2024; WANG, YUHAO/KBB-0213-2024",,,,,,,,,,,,,,1064-3389,1547-6537,,,,JAN 17,2024,54,2,,,,,95,116,,10.1080/10643389.2023.2223118,http://dx.doi.org/10.1080/10643389.2023.2223118,,JUN 2023,,,,,,,,,,,WOS:001010727900001,View Full Record in Web of Science
J,"Lei, XB; Lian, QY; Zhang, X; Karsili, TK; Holmes, W; Chen, YS; Zappi, ME; Gang, DD",,,,"Lei, Xiaobo; Lian, Qiyu; Zhang, Xu; Karsili, Tolga K.; Holmes, William; Chen, Yushun; Zappi, Mark E.; Gang, Daniel Dianchen",,,"A review of PFAS adsorption from aqueous solutions: Current approaches, engineering applications, challenges, and opportunities",ENVIRONMENTAL POLLUTION,,,,,,,,,,,,"Per- and polyfluoroalkyl substances (PFAS) have drawn great attention due to their wide distribution in water bodies and toxicity to human beings. Adsorption is considered as an efficient treatment technique for meeting the increasingly stringent environmental and health standards for PFAS. This paper systematically reviewed the current approaches of PFAS adsorption using different adsorbents from drinking water as well as synthetic and real wastewater. Adsorbents with large mesopores and high specific surface area adsorb PFAS faster, their adsorption capacities are higher, and the adsorption process are usually more effective under low pH conditions. PFAS adsorption mechanisms mainly include electrostatic attraction, hydrophobic interaction, anion exchange, and ligand exchange. Various adsorbents show promising performances but challenges such as requirements of organic solvents in regeneration, low adsorption selectivity, and complicated adsorbent preparations should be addressed before large scale implementation. Moreover, the aid of decision-making tools including response surface methodology (RSM), techno-economic assessment (TEA), life cycle assessment (LCA), and multi criteria decision analysis (MCDA) were discussed for engineering applications. The use of these tools is highly recommended prior to scale-up to determine if the specific adsorption process is economically feasible and sustainable. This critical review presented insights into the most fundamental aspects of PFAS adsorption that would be helpful to the development of effective adsorbents for the removal of PFAS in future studies and provide opportunities for large-scale engineering applications.",,,,,"Shi, Yaolin/JXN-8322-2024; lei, xiaobo/GLN-4194-2022","Lei, Xiaobo/0009-0009-9984-6121; Gang, Daniel/0000-0002-2565-0830",,,,,,,,,,,,,0269-7491,1873-6424,,,,MAR 15,2023,321,,,,,,,,121138,10.1016/j.envpol.2023.121138,http://dx.doi.org/10.1016/j.envpol.2023.121138,,JAN 2023,,,,,,36702432,,,,,WOS:000927449300001,View Full Record in Web of Science
J,"Liu, FQ; Jiang, ST; You, SJ; Liu, YB",,,,"Liu, Fuqiang; Jiang, Shengtao; You, Shijie; Liu, Yanbiao",,,Recent advances in electrochemical decontamination of perfluorinated compounds from water: a review,FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,,,,,,,,,,,,"Per- and polyfluoroalkyl substances (PFAS) pose serious human health and environmental risks due to their persistence and toxicity. Among the available PFAS remediation options, the electrochemical approach is promising with better control. In this review, recent advances in the decontamination of PFAS from water using several state-of-the-art electrochemical strategies, including electro-oxidation, electro-adsorption, and electro-coagulation, were systematically reviewed. We aimed to elucidate their design principles, underlying working mechanisms, and the effects of operation factors (e.g., solution pH, applied voltage, and reactor configuration). The recent developments of innovative electrochemical systems and novel electrode materials were highlighted. In addition, the development of coupled processes that could overcome the shortcomings of low efficiency and high energy consumption of conventional electrochemical systems was also emphasized. This review identified several major knowledge gaps and challenges in the scalability and adaptability of efficient electrochemical systems for PFAS remediation. Materials science and system design developments are forging a path toward sustainable treatment of PFAS-contaminated water through electrochemical technologies.",,,,,"?, ?/JUU-4277-2023","Liu, Fuqiang/0000-0002-3526-2735",,,,,,,,,,,,,2095-2201,2095-221X,,,,FEB,2023,17,2,,,,,,,18,10.1007/s11783-023-1618-z,http://dx.doi.org/10.1007/s11783-023-1618-z,,,,,,,,,,,,,WOS:000853338900002,View Full Record in Web of Science
J,"Singha, LP; Shukla, P",,,,"Singha, L. Paikhomba; Shukla, Pratyoosh",,,Microbiome engineering for bioremediation of emerging pollutants,BIOPROCESS AND BIOSYSTEMS ENGINEERING,,,,,,,,,,,,"Axenic microbial applications in the open environment are unrealistic and may not be always practically viable. Therefore, it is important to use mixed microbial cultures and their interactions with the microbiome in the targeted ecosystem to perform robust functions towards their sustainability in harsh environmental conditions. Emerging pollutants like phthalates and hydrocarbons that are toxic to several aquatic and terrestrial life forms in the water bodies and lands are an alarming situation. The present review explores the possibility of devising an inclusive eco-friendly strategy like microbiome engineering which proves to be a unique and crucial technology involving the power of microbial communication through quorum sensing. This review discusses the interspecies and intra-species communications between different microbial groups with their respective environments. Moreover, this review also envisages the efforts for designing the next level of microbiome-host engineering concept (MHEC). The focus of the review also extended toward using omics and metabolic network analysis-based tools for effective microbiome engineering. These approaches might be quite helpful in the future to understand such microbial interactions but it will be challenging to implement in the real environment to get the desired functions. Finally, the review also discusses multiple approaches for the bioremediation of toxic chemicals from the soil environment.",,,,,"Shukla, Pratyoosh/N-8039-2013","Shukla, Pratyoosh/0000-0002-9307-4126; Singha, Dr. L Paikhomba/0000-0002-0931-6410",,,,,,,,,,,,,1615-7591,1615-7605,,,,MAR,2023,46,3,,,SI,,323,339,,10.1007/s00449-022-02777-x,http://dx.doi.org/10.1007/s00449-022-02777-x,,AUG 2022,,,,,,36029349,,,,,WOS:000847053900002,View Full Record in Web of Science
J,"Takeda, K; Saito, T; Sasaki, S; Eguchi, A; Sugiyama, M; Eto, S; Suzuki, K; Kamata, R",,,,"Takeda, Kazuki; Saito, Taki; Sasaki, Sakura; Eguchi, Akifumi; Sugiyama, Makoto; Eto, Saeka; Suzuki, Kio; Kamata, Ryo",,,Toxicity Assessment of Mixed Exposure of Nine Perfluoroalkyl Substances at Concentrations Relevant to Daily Intake,TOXICS,,,,,,,,,,,,"Per- and poly-fluoroalkyl substances (PFAS) exhibit high persistence in the environment and accumulate within the human body, warranting a thorough assessment of their toxicity. In this study, we exposed mice (male C57BL/6J mice aged 8 weeks) to a composite of nine PFAS, encompassing both long-chain PFAS (e.g., perfluorooctanoic acid and perfluorooctanesulfonic acid) and short-chain PFAS (e.g., perfluorobutanoic acid and perfluorobutanesulfonic acid). The exposure concentrations of PFAS were equivalent to the estimated daily human intake in the composition reported (1 mu g/L (sum of the nine compounds), representing the maximum reported exposure concentration). Histological examination revealed hepatocyte vacuolization and irregular hepatocyte cord arrangement, indicating that exposure to low levels of the PFAS mixture causes morphological changes in liver tissues. Transcriptome analysis revealed that PFAS exposure mainly altered a group of genes related to metabolism and chemical carcinogenesis. Machine learning analysis of the liver metabolome showed a typical concentration-independent alteration upon PFAS exposure, with the annotation of substances such as glutathione and 5-aminovaleric acid. This study demonstrates that daily exposure to PFAS leads to morphological changes in liver tissues and alters the expression of metabolism- and cancer-related genes as well as phospholipid metabolism.",,,,,,"Takeda, Kazuki/0000-0002-3265-4143; Eguchi, Akifumi/0000-0001-5858-8132; SUGIYAMA, Makoto/0000-0001-9340-6015",,,,,,,,,,,,,,2305-6304,,,,JAN,2024,12,1,,,,,,,52,10.3390/toxics12010052,http://dx.doi.org/10.3390/toxics12010052,,,,,,,,38251008,,,,,WOS:001151157000001,View Full Record in Web of Science
J,"Liu, S; Liu, YF; Zhang, D; Li, H; Shao, XC; Xie, PF; Li, JM",,,,"Liu, Su; Liu, Yafeng; Zhang, Dong; Li, Huan; Shao, Xicheng; Xie, Pengfei; Li, Jianmei",,,Novel insights into perfluorinated compound-induced hepatotoxicity: Chronic dietary restriction exacerbates the effects of PFBS on hepatic lipid metabolism in mice,ENVIRONMENT INTERNATIONAL,,,,,,,,,,,,"Perfluorobutane sulfonates (PFBS) have garnered extensive utilization because of their distinctive physico-chemical properties. The liver acts as a key target organ for toxicity within the body and is vital for regulating metabolic processes, particularly lipid metabolism. However, there is currently a significant research gap regarding the influences of PFBS on hepatic lipid metabolism, especially in individuals with different dietary statuses. Here, the objective of this research was to examine the effects of PFBS on hepatic function under different dietary conditions. The results suggested that the levels of liver injury biomarkers were significantly upregulated, e.g., transaminase (GPT, GOT), while liver lipid levels were downregulated after exposure to PFBS at concentration of 50 mu g/L for 42 days. Moreover, restricted diet further intensified the adverse effects of PFBS on the liver. Metabolomics analysis identified significant alterations in lipid-related metabolites in PFBS-induced hepatotoxicity, PFBS exposure induced a decrease in lysophosphatidylethanolamine and lysophosphatidylcho-line. PFBS exposure caused an increase in aldosterone and prostaglandin f2alpha under restricted diet. In PFBS treatment group, histidine metabolism, beta-alanine metabolism, and arginine biosynthesis were the main pathway for PFBS toxicity. Aldosterone-regulated sodium reabsorption as a vital factor in inducing PFBS toxicity in the RD-PFBS treatment group. The analysis of 16S rRNA sequencing revealed that exposure to PFBS resulted in imbalance of gut microbial communities. PFBS exposure induced a decrease in Akkermansia and Lactobacillus, but an increase in Enterococcus. PFBS exposure caused the abundance of Lachnospiraceae_NK4A136_group was significantly elevated under restricted diet. Additionally, disruptions in the expression of genes involved in lipid production and consumption may significantly contribute to lipid imbalance in the liver. This study underscores the importance of recognizing the harmful impact of PFBS on liver function, along with the biotoxicity of contaminant influenced by dietary habits.",,,,,,,,,,,,,,,,,,,0160-4120,1873-6750,,,,NOV,2023,181,,,,,,,,108274,10.1016/j.envint.2023.108274,http://dx.doi.org/10.1016/j.envint.2023.108274,,OCT 2023,,,,,,37879206,,,,,WOS:001098045300001,View Full Record in Web of Science
J,"Malatji, N; Mpupa, A; Nomngongo, PN",,,,"Malatji, Nompumelelo; Mpupa, Anele; Nomngongo, Philiswa Nosizo",,,"Poly- and per-fluoroalkyl substances in water: Occurrence, analytical methodologies, and remediations strategies: A comprehensive review",REVIEWS IN ANALYTICAL CHEMISTRY,,,,,,,,,,,,"Poly- and perfluoroalkyl substances (PFASs) are fluoro-organic compounds comprising thousands of anthropogenically produced chemicals with various industrial and consumer applications. This review compiles recent information on the sources, occurrence, and health effects of PFAS in aquatic environments. Secondly, as a primary requirement for assessing the PFAS concentration in water, this review systematically summarised the analytical methodologies (sample preparation and analytical detection techniques) for PFAS. Furthermore, health risks associated with PFAS in water are outlined. Finally, researchers worldwide have investigated the strategies for the remediation and elimination of PFAS from water. Previous studies have shown that PFASs are present in various water bodies with the highest concentration detected in Germany (94-4,385 ng center dot L-1 in river and drinking waters). The findings of this review further revealed that solid-phase extraction techniques were the most preferred for sample preparation compared to liquid-liquid extraction techniques. Solid-phase extraction technique improved the limit of detection and the limit of quantification of many analytical techniques to 0.010-1.15 and 0.030-4.00 ng center dot L-1, respectively. For PFAS remediation, the adsorption method and chemical oxidation using heat-activated persulfate and photochemical oxidation were the most used techniques. The most studied water matrices were drinking, river, groundwater, wastewater, and modelled ultra-pure water. The most used detection technique was found to be liquid chromatograph-tandem mass spectrometer (LC-MS/MS).",,,,,"Nomngongo, Philiswa Nosizo/I-3263-2016",,,,,,,,,,,,,,0793-0135,2191-0189,,,,DEC 31,2023,42,1,,,,,,,20230064,10.1515/revac-2023-0064,http://dx.doi.org/10.1515/revac-2023-0064,,,,,,,,,,,,,WOS:001137396100001,View Full Record in Web of Science
J,"Niu, HX; Xu, MJ; Tu, PC; Xu, YF; Li, XQ; Xing, ML; Chen, ZJ; Wang, XF; Lou, XM; Wu, LZ; Sun, SZ",,,,"Niu, Huixia; Xu, Manjin; Tu, Pengcheng; Xu, Yunfeng; Li, Xueqing; Xing, Mingluan; Chen, Zhijian; Wang, Xiaofeng; Lou, Xiaoming; Wu, Lizhi; Sun, Shengzhi",,,Emerging Contaminants: An Emerging Risk Factor for Diabetes Mellitus,TOXICS,,,,,,,,,,,,"Emerging contaminants have been increasingly recognized as critical determinants in global public health outcomes. However, the intricate relationship between these contaminants and glucose metabolism remains to be fully elucidated. The paucity of comprehensive clinical data, coupled with the need for in-depth mechanistic investigations, underscores the urgency to decipher the precise molecular and cellular pathways through which these contaminants potentially mediate the initiation and progression of diabetes mellitus. A profound understanding of the epidemiological impact of these emerging contaminants, as well as the elucidation of the underlying mechanistic pathways, is indispensable for the formulation of evidence-based policy and preventive interventions. This review systematically aggregates contemporary findings from epidemiological investigations and delves into the mechanistic correlates that tether exposure to emerging contaminants, including endocrine disruptors, perfluorinated compounds, microplastics, and antibiotics, to glycemic dysregulation. A nuanced exploration is undertaken focusing on potential dietary sources and the consequential role of the gut microbiome in their toxic effects. This review endeavors to provide a foundational reference for future investigations into the complex interplay between emerging contaminants and diabetes mellitus.",,,,,"Sun, Shengzhi/G-2015-2018","Sun, Shengzhi/0000-0002-3708-1225; Wu, Lizhi/0000-0003-3013-1434; chen, zhijian/0000-0001-7165-3613",,,,,,,,,,,,,,2305-6304,,,,JAN,2024,12,1,,,,,,,47,10.3390/toxics12010047,http://dx.doi.org/10.3390/toxics12010047,,,,,,,,38251002,,,,,WOS:001151134500001,View Full Record in Web of Science
J,"Li, FL; Gong, XQ; Zhou, Y; Geng, QQ; Jiang, YH; Yao, L; Qu, M; Tan, ZJ",,,,"Li, Fengling; Gong, Xiuqiong; Zhou, Yang; Geng, Qianqian; Jiang, Yanhua; Yao, Lin; Qu, Meng; Tan, Zhijun",,,"Integrated evidence of transcriptional, metabolic, and intestinal microbiota changes in Ruditapes philippinarum due to perfluorooctanoic acid-induced immunotoxicity",SCIENCE OF THE TOTAL ENVIRONMENT,,,,,,,,,,,,"Perfluorooctanoic acid (PFOA) is a toxic pollutant that bioaccumulates and is a significant public health concern due to its ubiquitous and persistent occurrence in global environments. Few studies have evaluated the adverse effects of PFOA on immune system, and this is particularly true for mollusks. Here, the PFOA-associated effects on immune system were evaluated in Ruditapes philippinarum using integrated analysis of metabolomes, microbiomes, and transcriptomes, providing evidence for possible mechanisms related to immunotoxicity. PFOA exposure caused clear variation in several important metabolites related to immune regulatory function within the haemolyph from R. philippinarum, while also altering key metabolic pathways, including those of lipids, unsaturated fatty acids (UFAs), and bile acids (BAs). After exposure to PFOAs, intestinal bacterial communities also clearly changed, with the predominant microflora becoming Mycoplasma and Bacteroidetes that are related to intestinal inflammation. Molecular analyses provided consistent results, wherein the expression of immune related genes was significantly altered. Integration of the multi-'omics' analyses suggested that the TLR/MyD88/ NF-kB pathway, along with PI3K-Akt-mTOR pathway, PPAR-mediated lipid metabolism and the autophagy signaling pathway, likely play important roles in initiating immunotoxic effects in R. philippinarum after PFOA exposure. These results provide further evidence that PFOA exposure can lead to immunologic dysfunction and also provide new insights into the mechanisms of PFAS alteration of bivalve immune function.",,,,,,,,,,,,,,,,,,,0048-9697,1879-1026,,,,MAR 15,2024,916,,,,,,,,170341,10.1016/j.scitotenv.2024.170341,http://dx.doi.org/10.1016/j.scitotenv.2024.170341,,JAN 2024,,,,,,38272093,,,,,WOS:001173719400001,View Full Record in Web of Science
J,"Gilden, RC; Harris, RL; Friedmann, EJ; Han, MYH; Hackney, AJ; Olorunyemi, E; Spanier, AJ",,,,"Gilden, Robyn C. C.; Harris, Ryan L. L.; Friedmann, Erika J. J.; Han, Myeunghee; Hackney, Alisha J. J.; Olorunyemi, Emmanuel; Spanier, Adam J. J.",,,Systematic Review: Association of Pesticide Exposure and Child Wheeze and Asthma,CURRENT PEDIATRIC REVIEWS,,,,,,,,,,,,"Background: The prevalence of wheeze and asthma has risen over recent decades for all age groups, especially children. These disorders can lead to decreased quality of life, missed school, urgent care and emergency department visits, hospitalizations, and increased health care costs. Environmental exposures, including pesticide exposure, are likely a contributing factor to this increased prevalence. Objective: To evaluate the association of pesticide exposure with childhood wheeze and asthma. Methods: We conducted a systematic review evaluating studies of pesticide exposure (measured objectively) and child respiratory outcomes. We searched PubMed, Embase (Elsevier), CINAHL (EBSCO), Scopus (Elsevier), Cochrane Database of Systematic Reviews (Wiley), and ClinicalTrials.gov from 1988 - 2021. Main search keywords included pesticides, insecticides, herbicides, respiratory, asthma and wheeze. Results: Out of 5767 studies, 25 met the inclusion criteria; eight evaluated prenatal pesticide exposure (n=8407), twelve evaluated postnatal exposures (n= 50,488), and five evaluated pre-and postnatal exposures (n=20,919). Main pesticides investigated were dichlorodiphenyldichloroethylene (DDE) (14 studies) followed by organophosphates (7 studies). Primary methods of outcome assessment were questionnaire-based (84%), followed by spirometry (16%), registry data, and blood measures. Studies varied in the strength of evidence relating to study design and measures. Most studies (84%) reported a positive association of exposure with adverse child respiratory health. Conclusion: The studies suggest an association of pesticide exposure and childhood wheeze and asthma. The varying results and methods reinforce the need for more research and standardized approaches to these studies to confirm the suggested association of pesticide exposure and childhood wheeze and asthma.",,,,,,"Ingbretson, Alisha/0000-0002-0928-0366; Harris, Ryan/0000-0003-3322-1371; Gilden, Robyn/0000-0002-6325-7423",,,,,,,,,,,,,1573-3963,1875-6336,,,,,2023,19,2,,,,,169,178,,10.2174/1573396318666220510124457,http://dx.doi.org/10.2174/1573396318666220510124457,,,,,,,,35538815,,,,,WOS:000952387800008,View Full Record in Web of Science
